               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.031158,            0.021482,           0.0016762,              0.8649,             0.86509,             0.92406,             0.58339,            0.028033,            0.011576,          0.00081462,             0.00604,             0.00604,             0.00604
                  82,            0.031359,            0.021298,           0.0016669,             0.86641,             0.86662,             0.92487,             0.58435,            0.027965,            0.011562,          0.00081083,           0.0059905,           0.0059905,           0.0059905
                  83,            0.031457,             0.02144,           0.0016879,             0.86976,             0.86335,             0.92495,             0.58492,            0.027904,            0.011548,          0.00080513,            0.005941,            0.005941,            0.005941
                  84,            0.031344,            0.021283,           0.0017097,             0.86963,             0.86261,             0.92519,             0.58532,            0.027855,            0.011532,          0.00080018,           0.0058915,           0.0058915,           0.0058915
                  85,            0.030986,            0.021011,           0.0015413,             0.87075,             0.86345,             0.92585,             0.58631,             0.02783,            0.011512,          0.00079501,            0.005842,            0.005842,            0.005842
                  86,            0.031134,            0.021026,           0.0016334,             0.87207,             0.86392,             0.92508,             0.58692,            0.027798,            0.011494,          0.00079136,           0.0057925,           0.0057925,           0.0057925
                  87,            0.030903,            0.021136,           0.0015611,             0.87126,             0.86845,             0.92563,              0.5881,            0.027772,            0.011478,          0.00079315,            0.005743,            0.005743,            0.005743
                  88,            0.030816,            0.020938,           0.0014897,             0.87126,             0.87153,             0.92639,             0.58844,             0.02773,             0.01146,          0.00079361,           0.0056935,           0.0056935,           0.0056935
                  89,            0.030701,             0.02075,           0.0015662,             0.87408,             0.87308,             0.92782,             0.58912,            0.027708,            0.011445,          0.00079433,            0.005644,            0.005644,            0.005644
                  90,            0.030794,            0.020913,           0.0016063,             0.87469,             0.87108,             0.92794,             0.58977,            0.027683,             0.01143,          0.00079467,           0.0055945,           0.0055945,           0.0055945
                  91,            0.030777,            0.020918,           0.0015287,             0.87931,             0.86761,             0.92828,             0.58998,             0.02765,            0.011415,          0.00079327,            0.005545,            0.005545,            0.005545
